"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99729699999","2020-08-02T18:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","260,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0320,1","+9999,9","10111,1","6,1,009,1,+999,9","5,99,0046,1,999","+290,1","SYN080BLTM2 46/// /2606 10320 40111 56009 91800 222// 00290 333 91209 555 11006 22007="
"99729699999","2020-08-02T19:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","240,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0322,1","+9999,9","10107,1","6,1,010,1,+999,9","5,99,0077,1,999","+290,1","SYN080BLTM2 46/// /2410 10322 40107 56010 91900 222// 00290 333 91215 555 11011 22012="
"99729699999","2020-08-02T20:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","230,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0326,1","+9999,9","10103,1",,"5,99,0062,1,999","+290,1","SYN074BLTM2 46/// /2308 10326 40103 91942 222// 00290 333 91212 555 11008 22009="
"99729699999","2020-08-02T21:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","250,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0329,1","+9999,9","10101,1","7,1,010,1,+999,9","5,99,0077,1,999","+290,1","SYN080BLTM2 46/// /2508 10329 40101 57010 92100 222// 00290 333 91215 555 11009 22010="
"99729699999","2020-08-02T22:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","250,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0329,1","+9999,9","99999,9",,"5,99,0067,1,999","+291,1","SYN068BLTM2 46/// /2509 10329 92136 222// 00291 333 91213 555 11009 22010="
"99729699999","2020-08-02T23:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","240,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0313,1","+9999,9","10104,1",,"5,99,0051,1,999","+293,1","SYN074BLTM2 46/// /2406 10313 40104 92242 222// 00293 333 91210 555 11006 22007="
"99729699999","2020-08-03T00:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","250,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0310,1","+9999,9","10109,1",,"5,99,0051,1,999","+294,1","SYN074BLTM2 46/// /2506 10310 40109 92348 222// 00294 333 91210 555 11007 22007="
"99729699999","2020-08-03T01:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0303,1","+9999,9","10113,1",,,"+294,1","SYN048BLTM2 46/// ///// 10303 40113 90042 222// 00294="
"99729699999","2020-08-03T02:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","230,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0293,1","+9999,9","10122,1","2,1,016,1,+999,9","5,99,0026,1,999","+294,1","SYN080BLTM2 46/// /2302 10293 40122 52016 90200 222// 00294 333 91205 555 11002 22002="
"99729699999","2020-08-03T03:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","270,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0285,1","+9999,9","10132,1",,"5,99,0036,1,999","+293,1","SYN074BLTM2 46/// /2704 10285 40132 90330 222// 00293 333 91207 555 11005 22005="
