"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"99800999999","2020-01-03T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0075,1","+9999,9","99999,9",,"5,99,0067,1,999","SYN040RPRN6 46/// /2009 10075 90440 333 91213=",
"99800999999","2020-01-03T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0074,1","+9999,9","99999,9",,"5,99,0051,1,999","SYN040RPRN6 46/// /2108 10074 90540 333 91210=",
"99800999999","2020-01-03T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0072,1","+9999,9","99999,9",,"5,99,0046,1,999","SYN040RPRN6 46/// /2207 10072 90640 333 91209=",
"99800999999","2020-01-03T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0072,1","+9999,9","99999,9",,"5,99,0041,1,999","SYN040RPRN6 46/// /2206 10072 90740 333 91208=",
"99800999999","2020-01-03T09:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0073,1","+9999,9","99999,9",,"5,99,0036,1,999","SYN040RPRN6 46/// /2105 10073 90840 333 91207=",
"99800999999","2020-01-03T10:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0075,1","+9999,9","99999,9",,"5,99,0036,1,999","SYN040RPRN6 46/// /2006 10075 90940 333 91207=",
"99800999999","2020-01-03T11:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0072,1","+9999,9","99999,9",,"5,99,0031,1,999","SYN040RPRN6 46/// /2204 10072 91040 333 91206=",
"99800999999","2020-01-03T12:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0077,1","+9999,9","99999,9",,"5,99,0036,1,999","SYN040RPRN6 46/// /2104 10077 91200 333 91207=",
"99800999999","2020-01-03T13:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0075,1","+9999,9","99999,9",,"5,99,0031,1,999","SYN040RPRN6 46/// /2105 10075 91300 333 91206=",
"99800999999","2020-01-03T14:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0079,1","+9999,9","99999,9",,"5,99,0031,1,999","SYN040RPRN6 46/// /2206 10079 91340 333 91206=",
"99800999999","2020-01-03T15:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0085,1","+9999,9","99999,9",,"5,99,0041,1,999","SYN040RPRN6 46/// /2105 10085 91500 333 91208=",
"99800999999","2020-01-03T16:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","220,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0085,1","+9999,9","99999,9",,"5,99,0026,1,999","SYN040RPRN6 46/// /2204 10085 91540 333 91205=",
"99800999999","2020-01-03T17:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0086,1","+9999,9","99999,9",,"5,99,0031,1,999","SYN040RPRN6 46/// /2804 10086 91650 333 91206=",
"99800999999","2020-01-03T18:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","320,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0076,1","+9999,9","99999,9",,"5,99,0031,1,999","SYN040RPRN6 46/// /3206 10076 91800 333 91206=",
"99800999999","2020-01-03T19:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","300,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0049,1","+9999,9","99999,9",,"5,99,0031,1,999","SYN040RPRN6 46/// /3005 10049 91840 333 91206=",
"99800999999","2020-01-03T20:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","320,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0049,1","+9999,9","99999,9",,"5,99,0041,1,999","SYN040RPRN6 46/// /3207 10049 91940 333 91208=",
"99800999999","2020-01-03T21:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","290,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0074,1","+9999,9","99999,9",,"5,99,0031,1,999","SYN040RPRN6 46/// /2905 10074 92040 333 91206=",
"99800999999","2020-01-03T22:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","320,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0072,1","+9999,9","99999,9",,"5,99,0021,1,999","SYN040RPRN6 46/// /3204 10072 92150 333 91204=",
"99800999999","2020-01-03T23:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","300,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0047,1","+9999,9","99999,9",,"5,99,0031,1,999","SYN040RPRN6 46/// /3003 10047 92240 333 91206=",
"99800999999","2020-01-04T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","320,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0065,1","+9999,9","99999,9",,"5,99,0026,1,999","SYN040RPRN6 46/// /3205 10065 92340 333 91205=",
"99800999999","2020-01-04T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","300,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0060,1","+9999,9","99999,9",,"5,99,0026,1,999","SYN040RPRN6 46/// /3004 10060 90100 333 91205=",
